timestamp,user_id,level,message,rfid,tap_time,room
2023-05-07 18:59:20,100000,INFO,Attendance OnTime,2532024348,18:59:19,101
2023-05-08 15:52:59,100003,ERROR,An error occured: Rfid data doesn't match,187255239165,15:52:55,101
2023-05-08 15:53:06,100006,INFO,"Attendance failed to record, Error Code: 200",187255239165,15:53:02,101
2023-05-09 09:12:36,100005,ERROR,An error occured: Rfid data doesn't match,187255239165,09:12:36,101
2023-05-09 09:13:23,100005,ERROR,An error occured: Rfid data doesn't match,187255239165,09:13:23,101
2023-05-09 09:13:32,100006,INFO,Attendance Pending,187255239165,09:13:32,101
2023-05-10 14:16:15,0,ERROR,"An error occured: HTTPSConnectionPool(host='localhost', port=7170): Max retries exceeded with url: /api/Student?rfid=1341296684 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001EF39BB9330>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",187255239165,08:03:09,101
2023-05-10 14:16:33,0,ERROR,"An error occured: HTTPSConnectionPool(host='localhost', port=7170): Max retries exceeded with url: /api/Student?rfid=28401834124 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001EF39BB9A80>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",187255239165,08:03:28,101
2023-05-10 14:17:04,0,ERROR,"An error occured: HTTPSConnectionPool(host='localhost', port=7170): Max retries exceeded with url: /api/Student?rfid=187255239165 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001EF39BB9A20>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",187255239165,08:03:59,101
2023-05-10 14:17:17,0,ERROR,"An error occured: HTTPSConnectionPool(host='localhost', port=7170): Max retries exceeded with url: /api/Student?rfid=187255239165 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001EF39BB9270>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",187255239165,08:04:12,101
2023-05-10 14:21:43,0,ERROR,"An error occured: HTTPSConnectionPool(host='localhost', port=7170): Max retries exceeded with url: /api/Student?rfid=187255239165 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001EF39BBA380>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",187255239165,08:08:38,101
2023-05-10 18:35:15,0,ERROR,An error occured: list index out of range,187255239165,18:35:11,101
2023-05-10 18:35:23,0,ERROR,An error occured: list index out of range,187255239165,18:35:20,101
2023-05-10 18:35:29,0,ERROR,An error occured: list index out of range,187255239165,18:35:27,101
2023-05-10 18:35:36,0,ERROR,An error occured: list index out of range,187255239165,18:35:33,101
2023-05-10 18:36:02,0,ERROR,An error occured: list index out of range,187255239165,18:36:00,101
2023-05-10 18:36:31,100005,ERROR,An error occured: Rfid data doesn't match,187255239165,18:36:28,101
2023-05-10 18:36:38,0,ERROR,An error occured: list index out of range,187255239165,18:36:34,101
2023-05-10 18:37:22,0,ERROR,An error occured: list index out of range,187255239165,18:37:19,101
2023-05-10 18:38:01,0,ERROR,An error occured: list index out of range,187255239165,18:37:58,101
2023-05-10 18:38:58,0,ERROR,An error occured: list index out of range,187255239165,18:38:55,101
2023-05-10 18:39:07,0,ERROR,An error occured: list index out of range,187255239165,18:39:04,101
